id,chr,type,stage,duplicate_1,duplicate_2,duplicate_3,mean,sd
GG6AChr25Claw10,chr25,claw,E16F,0,0,NA,0,0
GG6AChr27FK49,chr27,FK,E16F,0,0,NA,0,0
GG6AChr2FK10,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK11,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK19,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK2,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK20,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK21,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK24,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK25,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK26,chr2,FK,E16F,0,0,NA,0,0
GG6AChr2FK7,chr2,FK,E16F,0,0,NA,0,0
GG6AChr7FK,chr7,FK,E16F,0,0,NA,0,0
GG6AChr25Claw10,chr25,claw,E12F,0,0,NA,0,0
GG6AChr25Ktn1,chr25,ktn,E12F,0,0,NA,0,0
GG6AChr25Ktn4,chr25,ktn,E12F,0,0,NA,0,0
GG6AChr25Ktn7,chr25,ktn,E12F,0,0,NA,0,0
GG6AChr25Ktn8,chr25,ktn,E12F,0,0,NA,0,0
GG6AChr25Scale12,chr25,scale,E12F,0,0,NA,0,0
GG6AChr25Scale19,chr25,scale,E12F,0,0,NA,0,0
GG6AChr25Scale21,chr25,scale,E12F,0,0,NA,0,0
GG6AChr25Scale3,chr25,scale,E12F,0,0,NA,0,0
GG6AChr27FK10,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK17,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK20,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK50,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK56,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK58,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK60,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK62,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK65,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK66,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK70,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK72,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK74,chr27,FK,E12F,0,0,NA,0,0
GG6AChr27FK76,chr27,FK,E12F,0,0,NA,0,0
GG6AChr2FK1,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK10,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK11,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK13,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK14,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK16,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK19,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK2,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK20,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK21,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK22,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK24,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK25,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK26,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK27,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK7,chr2,FK,E12F,0,0,NA,0,0
GG6AChr2FK8,chr2,FK,E12F,0,0,NA,0,0
GG6AChr6BKJ,chr6,BKJ,E12F,0,0,NA,0,0
GG6AChr7FK,chr7,FK,E12F,0,0,NA,0,0
GG6A_Chr6_BKJ,chr6,BKJ,E7D,0,0,NA,0,0
GG6AChr10FK4,chr10,FK,E7D,0,0,NA,0,0
GG6AChr10FK6,chr10,FK,E7D,0,0,NA,0,0
GG6AChr10FK7,chr10,FK,E7D,0,0,NA,0,0
GG6AChr1FK1,chr1,FK,E7D,0,0,NA,0,0
GG6AChr25Claw1,chr25,claw,E7D,0,0,NA,0,0
